"id"	en	kanji	kana
FMA34677	clavicular part of deltoid	三角筋の鎖骨部	さんかくきんさこつぶ
FMA34678	acromial part of deltoid	三角筋の肩峰部	さんかくきんけんほうぶ
FMA34679	spinal part of deltoid	三角筋の肩甲棘部	さんかくきんけんこうきょくぶ
FMA9629	supraspinatus	棘上筋	きょくじょうきん
FMA32546	infraspinatus muscle	棘下筋	きょくかきん
FMA32550	teres minor	小円筋	しょうえんきん
FMA32549	teres major	大円筋	だいえんきん
FMA13413	subscapularis	肩甲下筋	けんこうかきん
FMA37670	biceps brachii	上腕二頭筋	じょうわんにとうきん
FMA37683	long head of biceps brachii	上腕二頭筋の長頭	じょうわんにとうきんちょうとう
FMA37682	short head of biceps brachii	上腕二頭筋の短頭	じょうわんにとうきんたんとう
FMA37664	coracobrachialis	烏口腕筋	うこうわんきん
FMA37667	brachialis	上腕筋	じょうわんきん
FMA37688	triceps brachii	上腕三頭筋	じょうわんさんとうきん
FMA37692	long head of triceps brachii	上腕三頭筋の長頭	じょうわんさんとうきんちょうとう
FMA37694	lateral head of triceps brachii	上腕三頭筋の外側頭	じょうわんさんとうきんがいそくとう
FMA37693	medial head of triceps brachii	内側頭;上腕三頭筋の深頭	じょうわんさんとうきんないそくとう
FMA37704	anconeus	肘筋	ちゅうきん
FMA38450	pronator teres	円回内筋	えんかいないきん
FMA38558	humeral head of pronator teres	円回内筋の上腕頭	えんかいないきんじょうわんとう
FMA38559	ulnar head of pronator teres	円回内筋の尺骨頭	えんかいないきんしゃくこつとう
FMA38459	flexor carpi radialis	橈側手根屈筋	とうそくしゅこんくっきん
FMA38462	palmaris longus	長掌筋	ちょうしょうきん
FMA38465	flexor carpi ulnaris	尺側手根屈筋	しゃくそくしゅこんくっきん
FMA38615	humeral head of flexor carpi ulnaris	尺側手根屈筋の上腕頭	しゃくそくしゅこんくっきんじょうわんとう
FMA38616	ulnar head of flexor carpi ulnaris	尺側手根屈筋の尺骨頭	しゃくそくしゅこんくっきんしゃくこつとう
FMA38469	flexor digitorum superficialis	浅指屈筋	せんしくっきん
FMA38636	humero-ulnar head of flexor digitorum superficialis	浅指屈筋の上腕尺骨頭	せんしくっきんじょうわんしゃこつとう
FMA38637	radial head of flexor digitorum superficialis	浅指屈筋の橈骨頭	せんしくっきんとうこつとう
FMA38478	flexor digitorum profundus	深指屈筋	しんしくっきん
FMA38481	flexor pollicis longus	長母指屈筋;手の長母指屈筋	ちょうぼしくっきん
FMA38453	pronator quadratus	方形回内筋	ほうけいかいないきん
FMA38485	brachioradialis	腕橈骨筋	わんとうこつきん
FMA38494	extensor carpi radialis longus	長橈側手根伸筋	ちょうとうそくしゅこんしんきん
FMA38497	extensor carpi radialis brevis	短橈側手根伸筋	たんとうそくしゅこんしんきん
FMA38500	extensor digitorum	総指伸筋;指伸筋	そうししんきん
FMA38503	extensor digiti minimi	小指伸筋	しょうししんきん
FMA38506	extensor carpi ulnaris	尺側手根伸筋	しゃくそくしゅこんしんきん
FMA77260	humeral head of extensor carpi ulnaris	尺側手根伸筋の上腕頭	しゃくそくしゅこんしんきんじょうわんとう
FMA77261	ulnar head of extensor carpi ulnaris	尺側手根伸筋の尺骨頭	しゃくそくしゅこんしんきんしゃくこつとう
FMA38512	supinator	回外筋	かいがいきん
FMA38515	abductor pollicis longus	長母指外転筋	ちょうぼしがいてんきん
FMA38518	extensor pollicis brevis	手の短母指伸筋	たんぼししんきん
FMA38521	extensor pollicis longus	長母指伸筋	ちょうぼししんきん
FMA38524	extensor indicis	示指伸筋	しじしんきん
FMA37373	abductor pollicis brevis	短母指外転筋	たんぼしがいてんきん
FMA37378	flexor pollicis brevis	手の短母指屈筋	たんぼしくっきん
FMA46104	superficial head of flexor pollicis brevis	短母指屈筋の浅頭	たんぼしくっきんせんとう
FMA46107	deep head of flexor pollicis brevis	短母指屈筋の深頭	たんぼしくっきんしんとう
FMA37379	opponens pollicis	母指対立筋	ぼしたいりつきん
FMA37380	adductor pollicis	手の母指内転筋	ぼしないてんきん
FMA46119	oblique head of adductor pollicis	母指内転筋の斜頭	ぼしないてんきんしゃとう
FMA46120	transverse head of adductor pollicis	母指内転筋の横頭	ぼしないてんきんおうとう
FMA37382	abductor digiti minimi of hand	手の小指外転筋	しょうしがいてんきん
FMA37383	flexor digiti minimi brevis of hand	手の短小指屈筋	たんしょうしくっきん
FMA37384	opponens digiti minimi of hand	手の小指対立筋	しょうしたいりつきん
FMA71318	set of lumbricals of hand	虫様筋［手の］	てのちゅうようきん
FMA71319	set of dorsal interossei of hand	背側骨間筋［手の］	てのはいそくこっかんきん
FMA71320	set of palmar interossei of hand	掌側骨間筋	しょうそくこつかんきん
FMA39988	flexor retinaculum of wrist	屈筋支帯［手の］	てのくっきんしたい
FMA45151	anterior compartment of thigh	大腿の前区画;大腿の伸筋区画	
FMA45157	posterior compartment of thigh	大腿の後区画;大腿の屈筋区画	
FMA45160	medial compartment of thigh	大腿の内側区画;大腿の内転筋区画	
FMA45163	anterior compartment of leg	下腿の前区画;下腿の伸筋区画	
FMA9622	muscle of lower limb	下肢の筋	かしのきん
FMA64918	iliopsoas	腸腰筋	ちょうようきん
FMA22310	iliacus	腸骨筋	ちょうこつきん
FMA18060	psoas major	大腰筋	だいようきん
FMA22314	gluteus maximus	大殿筋;大臀筋	だいでんきん
FMA22315	gluteus medius	中殿筋;中臀筋	ちゅうでんきん
FMA22317	gluteus minimus	小殿筋;小臀筋	しょうでんきん
FMA22423	tensor fasciae latae	大腿筋膜張筋	だいたいきんまくちょうきん
FMA19082	piriformis	梨状筋	りじょうきん
FMA22298	obturator internus	内閉鎖筋	ないへいさきん
FMA22318	gemellus superior	上双子筋	じょうそうしきん
FMA22320	gemellus inferior	下双子筋	かそうしきん
FMA22321	quadratus femoris	大腿方形筋	だいたいほうけいきん
FMA22353	sartorius	縫工筋	ほうこうきん
FMA22428	quadriceps femoris	大腿四頭筋	だいたいしとうきん
FMA22430	rectus femoris	大腿直筋	だいたいちょくきん
